id,setor,soma_associados,cor_node,cnae_fiscal_principal
55682395,Outros,7,yellow,4530704
14704628,Outros,4,yellow,4751201
30911737,Outros,7,yellow,4784900
37518731,Outros,5,yellow,4321500
31649787,Outros,14,yellow,6920601
18609499,Outros,2,yellow,7112000
31523999,Outros,2,yellow,7319002
36849504,Outros,4,yellow,4321500
20772022,Outros,8,yellow,4921301
11553007,42 - Obras de Infraestrutura,2,blue,4211101
14312095,68 - Atividades Imobiliárias,10,red,6821801
22870183,Outros,14,yellow,4752100
07869021,Outros,4,yellow,8520100
33801385,Outros,5,yellow,7911200
15734122,41 - Construção de Edifícios,6,green,4120400
27482302,Outros,17,yellow,7719599
46425851,Outros,12,yellow,4754701
19600440,Outros,5,yellow,6622300
37606859,68 - Atividades Imobiliárias,8,red,6810202
41649624,Outros,7,yellow,8593700
32903815,42 - Obras de Infraestrutura,2,blue,4213800
07498210,Outros,6,yellow,8630503
26102362,Outros,2,yellow,4613300
45767059,42 - Obras de Infraestrutura,11,blue,4221904
47734486,Outros,5,yellow,4721102
45489303,Outros,9,yellow,5611203
14811273,41 - Construção de Edifícios,4,green,4120400
51431935,Outros,5,yellow,3329501
09303787,68 - Atividades Imobiliárias,47,red,6821801
24873159,41 - Construção de Edifícios,7,green,4110700
44812807,Outros,5,yellow,8599601
07837910,Outros,8,yellow,4771702
58280732,Outros,6,yellow,0139305
28540547,Outros,12,yellow,1031700
45369095,Outros,2,yellow,4712100
45808161,Outros,6,yellow,4520001
04118305,Outros,10,yellow,7020400
28648070,41 - Construção de Edifícios,4,green,4120400
43112763,Outros,2,yellow,4744099
34803644,Outros,4,yellow,4669999
42268743,Outros,3,yellow,4623106
09588423,Outros,4,yellow,4713004
09076287,Outros,11,yellow,4313400
32267624,Outros,23,yellow,8650003
41034185,Outros,11,yellow,4639701
43928404,41 - Construção de Edifícios,5,green,4120400
16995597,Outros,5,yellow,4619200
17169259,Outros,7,yellow,4724500
07045620,Outros,14,yellow,4771704
48145943,Outros,15,yellow,5510801
33962479,Outros,6,yellow,4781400
50545443,Outros,12,yellow,3811400
37444553,Outros,4,yellow,4611700
10361337,Outros,6,yellow,4712100
45736704,Outros,11,yellow,8640202
15466308,Outros,4,yellow,8599604
19794048,Outros,6,yellow,4781400
28802660,Outros,12,yellow,8630504
41955344,Outros,3,yellow,4614100
10490771,Outros,6,yellow,6920601
47728638,Outros,12,yellow,4723700
27079098,Outros,2,yellow,1099604
27462525,Outros,10,yellow,4712100
34891754,Outros,9,yellow,4744099
10465894,Outros,11,yellow,7020400
26821997,Outros,4,yellow,4744099
19440837,Outros,6,yellow,6920601
08178406,Outros,24,yellow,6491300
22633097,Outros,3,yellow,8650004
44409452,Outros,3,yellow,4784900
34101173,Outros,6,yellow,1113502
32885424,Outros,15,yellow,8020001
39337501,41 - Construção de Edifícios,9,green,4120400
19318101,Outros,7,yellow,4399103
11018161,Outros,5,yellow,3313901
18124153,Outros,12,yellow,4330403
27112886,Outros,14,yellow,9602502
29938162,Outros,5,yellow,4755502
40604428,Outros,9,yellow,4754701
55630308,Outros,4,yellow,5211799
55773754,Outros,5,yellow,4771702
12233320,68 - Atividades Imobiliárias,7,red,6822600
32535724,Outros,5,yellow,4771701
13982607,Outros,7,yellow,4742300
28054556,Outros,3,yellow,4744002
32349549,Outros,5,yellow,4781400
21815666,Outros,11,yellow,4679699
30776537,Outros,5,yellow,4321500
30668020,Outros,7,yellow,3314710
33281406,Outros,8,yellow,4321500
33574353,Outros,6,yellow,4742300
52987384,Outros,8,yellow,4731800
47327635,Outros,4,yellow,6462000
32585944,Outros,3,yellow,1095300
24405076,Outros,6,yellow,4669999
31381341,Outros,3,yellow,4321500
25316328,Outros,11,yellow,8650004
43780028,Outros,3,yellow,7120100
13778425,Outros,8,yellow,4731800
37859775,Outros,2,yellow,9313100
40724815,Outros,5,yellow,1610203
48340963,Outros,6,yellow,0724301
41991291,Outros,5,yellow,9602502
19445812,41 - Construção de Edifícios,2,green,4120400
40526955,Outros,7,yellow,4511102
22703189,Outros,5,yellow,4530703
20130899,68 - Atividades Imobiliárias,11,red,6810201
46862295,41 - Construção de Edifícios,6,green,4120400
44734215,Outros,6,yellow,8640207
26679251,Outros,8,yellow,4744099
50091280,Outros,6,yellow,4642702
13005432,41 - Construção de Edifícios,4,green,4120400
28221371,Outros,3,yellow,4322302
50609978,Outros,3,yellow,4781400
14111411,41 - Construção de Edifícios,3,green,4120400
13542805,41 - Construção de Edifícios,8,green,4120400
44591942,Outros,8,yellow,4731800
05389267,Outros,11,yellow,4731800
48287224,Outros,4,yellow,6462000
39364694,Outros,8,yellow,7112000
21286441,Outros,12,yellow,4930203
42489131,Outros,13,yellow,8630503
52869416,Outros,6,yellow,4679601
34020981,Outros,11,yellow,7732201
34710513,Outros,6,yellow,4731800
36747910,Outros,7,yellow,4712100
56701497,Outros,13,yellow,4781400
17872860,Outros,10,yellow,4731800
41349841,41 - Construção de Edifícios,14,green,4120400
36605025,Outros,17,yellow,1610203
32074588,Outros,12,yellow,4731800
40311143,Outros,5,yellow,4711302
00791940,Outros,10,yellow,4712100
51416028,68 - Atividades Imobiliárias,8,red,6810201
58341070,41 - Construção de Edifícios,11,green,4120400
51009087,Outros,10,yellow,8130300
34896209,Outros,8,yellow,4731800
07984371,Outros,4,yellow,5510801
02095292,Outros,7,yellow,7111100
27221730,Outros,6,yellow,4321500
26837348,Outros,7,yellow,8020001
36696049,Outros,2,yellow,8111700
07520084,41 - Construção de Edifícios,4,green,4120400
27797487,Outros,10,yellow,2342702
29301770,41 - Construção de Edifícios,13,green,4120400
33718845,Outros,10,yellow,6462000
29660216,Outros,7,yellow,4744099
05423058,Outros,3,yellow,7111100
06046912,68 - Atividades Imobiliárias,8,red,6810201
55154690,Outros,11,yellow,4530703
55033552,Outros,20,yellow,4789004
24111639,Outros,10,yellow,8630503
27679973,Outros,2,yellow,8610101
13080819,41 - Construção de Edifícios,7,green,4120400
48754339,Outros,10,yellow,4729699
54007508,Outros,4,yellow,4511102
