id,setor,soma_associados,cor_node,cnae_fiscal_principal
02289157,Outros,10,yellow,7490101
50401555,Outros,2,yellow,3329599
01892166,Outros,6,yellow,4930201
08214717,Outros,14,yellow,9430800
04991576,41 - Construção de Edifícios,9,green,4120400
07886277,41 - Construção de Edifícios,18,green,4120400
29999452,42 - Obras de Infraestrutura,3,blue,4211101
55590398,Outros,15,yellow,7112000
10716301,42 - Obras de Infraestrutura,16,blue,4222701
32027728,Outros,3,yellow,8513900
54328041,Outros,12,yellow,3811400
04974689,Outros,8,yellow,9411100
49275814,41 - Construção de Edifícios,11,green,4120400
05403050,Outros,6,yellow,8520100
22942684,Outros,5,yellow,9412099
12956302,Outros,5,yellow,9411100
32086495,41 - Construção de Edifícios,4,green,4120400
08107424,41 - Construção de Edifícios,17,green,4120400
24819389,68 - Atividades Imobiliárias,7,red,6822600
22106597,41 - Construção de Edifícios,3,green,4110700
57516830,Outros,6,yellow,8550302
03182558,Outros,7,yellow,8630501
07456063,Outros,6,yellow,9430800
51023682,Outros,7,yellow,7112000
44623180,Outros,23,yellow,9430800
42909526,42 - Obras de Infraestrutura,3,blue,4211101
29779458,Outros,19,yellow,7112000
08310667,Outros,7,yellow,9430800
04869392,Outros,5,yellow,2320600
50735105,41 - Construção de Edifícios,10,green,4120400
08395946,Outros,5,yellow,9430800
10797263,Outros,7,yellow,9430800
39476297,Outros,6,yellow,9319101
04977567,Outros,7,yellow,9412099
09559262,Outros,5,yellow,9430800
23177869,Outros,11,yellow,9491000
53655623,Outros,4,yellow,9430800
04059596,Outros,5,yellow,9492800
63887202,Outros,12,yellow,9312300
09222792,Outros,4,yellow,9499500
07411421,Outros,2,yellow,4921301
