from,to,associado
04914597,49400987,1
04914597,44564204,1
04914597,31975245,1
04914597,57851937,1
04914597,23944869,1
44273325,48925720,1
44273325,45519286,1
44273325,49915450,1
14795245,41671572,1
32203164,44139918,1
32203164,48222642,1
39701877,52521807,1
39701877,44246433,1
39701877,46268382,1
39701877,46084556,1
39701877,54048782,1
14603843,46268382,1
14603843,14625319,1
14603843,16455522,1
14603843,16499871,1
14603843,39701877,1
14603843,36357201,1
14603843,37567308,1
46182869,54602056,1
40391475,40392129,1
40391475,40651924,1
40391475,42056628,1
40391475,40392132,1
40391475,42413145,1
40392129,42413145,1
40392129,40651924,1
40392129,40392132,1
40392129,42056628,1
56081840,57628134,1
20548007,22993378,1
20548007,29320798,1
44246433,52521807,1
44246433,50560053,1
44246433,46268382,1
44246433,46084556,1
44246433,48905225,1
44246433,50473993,1
44246433,48905309,1
05095110,57795566,1
05095110,19596066,1
05095110,05147069,1
05095110,22931471,1
05095110,19468568,1
05095110,23446100,1
05095110,83919761,1
31173964,32203164,1
31173964,50545443,1
31173964,48222642,1
31173964,56060720,1
57435663,57859703,1
30106018,45738902,1
30106018,83856187,1
45514503,48063233,1
45514503,83904854,1
56915709,84189950,1
56915709,57547749,1
56915709,57169353,1
04096305,57730109,1
04096305,25239734,1
04239081,07388430,1
04239081,44376413,1
04239081,55402313,1
04239081,16995597,1
20450398,27587364,1
20450398,44752436,1
20450398,58032296,1
43664533,83919761,1
08490947,19339404,1
08490947,51511356,1
06164013,18750515,1
06164013,26233642,1
06164013,33258562,1
06164013,22960942,1
13349467,52228257,1
13349467,32800910,1
13349467,55534246,1
13349467,51310351,1
13349467,23971324,1
13349467,50180210,1
18817255,26057084,1
13759117,53745886,1
51666648,56321807,1
51666648,56908851,1
34922634,51671142,1
39558468,83338145,1
39558468,48780328,1
27471769,32434747,1
27471769,57530722,1
27471769,31211327,1
47750063,55320461,1
42456738,54149287,1
42456738,55248246,1
42456738,83577494,1
42456738,56901344,1
42456738,57462001,1
38342928,49883924,1
36634515,47604896,1
36634515,44823027,1
09303787,09687570,1
37980824,41713084,1
37980824,83904276,1
37980824,55416678,1
37980824,54498618,1
37980824,41409445,1
11126954,52833680,1
11126954,15353395,1
11126954,83367771,1
11126954,34817320,1
11126954,27960528,1
11126954,46626596,1
11126954,83303776,1
27935968,55534246,1
27935968,52228257,1
22646126,26050345,1
22646126,28137761,1
22646126,43712622,1
22646126,28839535,1
46527197,57167357,1
46527197,83319640,1
46527197,83919381,1
03031874,83332908,1
03031874,05099585,1
15321276,57839893,1
24873159,35829796,1
24873159,51944055,1
24873159,58063535,1
09475549,34834598,1
09475549,46978942,1
09475549,19112682,1
14031461,42345486,1
14031461,29377650,1
14031461,57003730,1
14031461,30733949,1
14031461,52683891,1
14031461,40582446,1
45736704,54332505,1
45736704,53722842,1
45736704,56660430,1
45736704,54885487,1
45736704,48569264,1
45736704,55775552,1
45736704,48463108,1
54496726,56348798,1
00791940,38342928,1
00791940,29435338,1
00791940,10249951,1
00791940,06945995,1
00791940,19256258,1
00791940,49883924,1
00791940,35657820,1
00791940,36875084,1
35040545,57719959,1
35040545,49020752,1
35040545,51784670,1
35040545,39468581,1
35040545,53271619,1
35040545,56281977,1
03504132,63851000,1
19312885,33754667,1
19312885,19440837,1
19312885,46734202,1
19312885,19999210,1
19312885,33028175,1
07081633,53310898,1
07081633,26679251,1
07081633,13224246,1
07081633,20747693,1
07081633,15255821,1
07081633,46147657,1
07932841,26666570,1
07932841,34612325,1
07932841,83214148,1
07932841,83342162,1
07932841,28298039,1
07932841,09200985,1
07932841,51354213,1
07932841,20335130,1
07932841,33747285,1
07932841,27753564,1
50294570,53713512,1
50294570,57260815,1
50294570,55154690,1
04103417,20450398,1
04103417,27587364,1
04103417,44752436,1
04103417,58032296,1
04103417,12603019,1
47756561,50738091,1
47756561,55991912,1
47756561,52987384,1
47756561,83372813,1
16821155,29629465,1
16821155,33963982,1
16821155,49046200,1
16821155,44606157,1
07405193,34853168,1
07405193,63801096,1
07405193,42554695,1
15762776,30534814,1
15762776,20735238,1
15762776,30874272,1
15762776,17489587,1
15762776,52202571,1
15762776,21062604,1
15762776,18352188,1
15762776,49356704,1
15762776,52262984,1
17974572,29466399,1
17974572,18168390,1
10320549,47666291,1
10320549,45861983,1
10320549,30181304,1
10320549,55443749,1
10320549,37466456,1
10320549,54137324,1
10320549,53913111,1
10320549,11728366,1
10320549,55734874,1
10320549,31500254,1
29188492,38399727,1
29188492,44949723,1
05024583,14631621,1
05024583,10824588,1
05024583,09163579,1
05024583,07853641,1
05024583,84189950,1
05024583,09145594,1
23328224,63879381,1
21027140,28572296,1
21027140,30733896,1
04256407,27482302,1
04256407,04320354,1
04256407,35518033,1
04256407,23792780,1
04256407,13372101,1
04256407,58171437,1
04256407,38478093,1
04256407,15546463,1
04256407,34580317,1
04256407,31613883,1
04256407,15384376,1
04256407,22546522,1
04256407,54490498,1
04256407,30481449,1
04256407,04896759,1
04256407,24531971,1
08068245,11050213,1
03264911,42507899,1
03264911,45942603,1
03264911,19471452,1
03264911,45945702,1
03264911,83325381,1
03264911,22942965,1
03264911,24701795,1
07008973,45094160,1
07008973,23147576,1
07008973,11997328,1
07008973,52412926,1
19112682,48546635,1
19112682,34834598,1
04927695,45225921,1
04927695,22703640,1
04927695,49339816,1
14133060,15297070,1
14133060,22983316,1
14133060,44069236,1
14133060,15232790,1
26666570,83214148,1
26666570,33747285,1
26666570,27753564,1
11060909,41699731,1
11060909,15195663,1
11060909,44000141,1
11060909,37916411,1
08966851,16631663,1
08966851,09317458,1
08966851,28530084,1
08966851,10716210,1
08966851,16631741,1
08966851,11438135,1
08966851,15652417,1
08966851,44592083,1
08966851,57372381,1
08966851,16739367,1
08966851,11358828,1
08966851,55127081,1
08966851,18983720,1
08966851,28551662,1
08966851,15006343,1
46778045,55957988,1
46778045,53071336,1
33220071,52001949,1
33220071,57496254,1
04301722,45129411,1
54012325,57901736,1
08000955,39280486,1
05574132,20790368,1
05574132,21135479,1
05574132,31481031,1
09163579,50150082,1
09163579,14631621,1
09163579,18548319,1
09163579,46423577,1
09163579,45632934,1
09163579,15415504,1
09163579,19954308,1
09163579,84189950,1
44296529,46719330,1
44296529,46719213,1
21848243,30092434,1
52610053,57688154,1
52610053,83325381,1
52610053,52938394,1
52610053,55127081,1
52610053,53571951,1
19954308,30214709,1
19954308,84189950,1
19954308,46423577,1
19954308,21665630,1
19954308,34679456,1
19954308,50150082,1
54229231,57363999,1
54229231,58246272,1
15011981,41981831,1
04303589,37376395,1
04303589,49084949,1
04303589,42870244,1
04303589,12064115,1
04303589,56000290,1
38088444,41297076,1
38088444,39306305,1
38088444,63854616,1
38088444,50776147,1
38088444,44470034,1
38088444,52279393,1
38088444,49032101,1
38088444,47027121,1
50908405,52389398,1
50908405,54782060,1
15522348,45327140,1
15522348,53972553,1
